"Dataset","Tissue","Species","Method","Replicate","RefinementSelector","RefinementBudgetK","ConfidenceColumn","Brier","BinaryCorrectnessNLL","NLL","ECE","AUROC","AURC","MeanConfidence","Accuracy","CoverageAt0.7","CoverageAt0.8","CoverageAt0.9","AccuracyAt0.7","AccuracyAt0.8","AccuracyAt0.9"
"ZeiselBrain","Brain","Mouse","DeepSeekCell-SelfRefined",2,"evidence-k",1,"Confidence",0.1615260625,0.488561565675293,0.488561565675293,0.1986875,0.78125,0.0813670704295704,0.8391875,0.75,0.9375,0.75,0.25,0.8,0.75,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-RandomK",2,"random-k",1,"Confidence",0.192680125,0.558762696892187,0.558762696892187,0.17225,0.809090909090909,0.1063631247225,0.830125,0.6875,0.9375,0.6875,0.25,0.733333333333333,0.727272727272727,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-ConfidenceK",2,"confidence-k",1,"Confidence",0.2087379375,0.592977407478347,0.592977407478347,0.1856875,0.809090909090909,0.1063631247225,0.8435625,0.6875,1,0.6875,0.25,0.6875,0.727272727272727,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-FullRefined",2,"full",16,"Confidence",0.1962379375,0.565894778565151,0.565894778565151,0.1756875,0.809090909090909,0.1063631247225,0.8335625,0.6875,0.9375,0.6875,0.25,0.733333333333333,0.727272727272727,1
"ZilionisLung","Lung","Human","DeepSeek-Plain",2,"none",0,"LLMConfidence",0.365625,1.10844929607921,1.10844929607921,0.40625,0.75,0.206384934509935,0.88125,0.5,0.9375,0.875,0.8125,0.533333333333333,0.571428571428571,0.538461538461538
"ZilionisLung","Lung","Human","DeepSeekCell-Evidence",2,"none",0,"LLMConfidence",0.365625,1.10844929607921,1.10844929607921,0.40625,0.75,0.206384934509935,0.88125,0.5,0.9375,0.875,0.8125,0.533333333333333,0.571428571428571,0.538461538461538
"ZilionisLung","Lung","Human","DeepSeekCell-Calibrated",2,"none",0,"Confidence",0.3105616875,0.862892167079279,0.862892167079279,0.3889375,0.5546875,0.399148941336441,0.7814375,0.5,0.8125,0.625,0.0625,0.615384615384615,0.5,1
"ZilionisLung","Lung","Human","DeepSeekCell-SelfRefined",2,"evidence-k",1,"Confidence",0.282468375,0.798430480653009,0.798430480653009,0.3525,0.547619047619048,0.324948792526918,0.79575,0.5625,0.875,0.6875,0.125,0.642857142857143,0.545454545454545,1
"ZilionisLung","Lung","Human","DeepSeekCell-RandomK",2,"random-k",1,"Confidence",0.3105616875,0.862892167079279,0.862892167079279,0.3889375,0.5546875,0.399148941336441,0.7814375,0.5,0.8125,0.625,0.0625,0.615384615384615,0.5,1
"ZilionisLung","Lung","Human","DeepSeekCell-ConfidenceK",2,"confidence-k",1,"Confidence",0.3366385,0.926533145737457,0.926533145737457,0.4085,0.4765625,0.42804122960373,0.801,0.5,0.875,0.6875,0.0625,0.571428571428571,0.454545454545455,1
