"Dataset","Tissue","Species","Method","RefinementSelector","RefinementBudgetK","Replicate","FirstPassResponseHash","RefinementResponseHash","RefinementPromptTokens","RefinementCompletionTokens","RefinementTokens","RefinementRuntimeSec","RefinementCostUSD","SecondPassCalls","CostPerCorrectedError","NClusters","NFlagged","NRefined","FlaggedRate","NInitiallyIncorrect","SelectionPrecision","SelectionRecall","SelectionSpecificity","SelectionNPV","SelectionMCC","ConflictPrecision","ConflictRecall","NLabelChanged","WrongToCorrect","CorrectToWrong","NetCorrectionRate","NetCorrectionPerChangedLabel","FullWrongToCorrect","FullNRefined","CorrectionEfficiency","HarmRate","RecoveryFraction","RelativeRefinementBudget"
"BaronPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","evidence-k",0,2,"db1ed5bb8d39dd1fc23bcdc23db74d13",NA,0,0,0,0,0,0,NA,16,0,0,0,4,NA,0,1,0.75,NA,NA,0,0,0,0,NA,NA,0,16,NA,NA,NA,0
"BaronPancreas","Pancreas","Human","DeepSeekCell-FullRefined","full",16,2,"db1ed5bb8d39dd1fc23bcdc23db74d13","179d8b0cf71b4183470900d9a2be5b65",3356,964,4320,6.63281202316284,0.00073976,1,NA,16,16,16,1,4,0.25,1,0,NA,NA,0.25,1,0,0,0,0,NA,0,16,0,0,NA,1
"MuraroPancreas","Pancreas","Human","DeepSeekCell-RandomK","random-k",0,2,"556248f95fbc3937c493b0586f19cfa2",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,0,11,NA,NA,NA,0
"MuraroPancreas","Pancreas","Human","DeepSeekCell-ConfidenceK","confidence-k",0,2,"556248f95fbc3937c493b0586f19cfa2",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,0,11,NA,NA,NA,0
"MuraroPancreas","Pancreas","Human","DeepSeekCell-SelfRefined","evidence-k",0,2,"556248f95fbc3937c493b0586f19cfa2",NA,0,0,0,0,0,0,NA,11,0,0,0,2,NA,0,1,0.818181818181818,NA,NA,0,0,0,0,NA,NA,0,11,NA,NA,NA,0
"MuraroPancreas","Pancreas","Human","DeepSeekCell-FullRefined","full",11,2,"556248f95fbc3937c493b0586f19cfa2","8b7b3f114409c100e5ce7bcf021ccd74",2474,773,3247,4.74068999290466,0.0005628,1,NA,11,11,11,1,2,0.181818181818182,1,0,NA,NA,0.181818181818182,1,0,0,0,0,NA,0,11,0,0,NA,1
"TasicBrain","Brain","Mouse","DeepSeekCell-RandomK","random-k",0,2,"ea9757f0baa3079bf1c5ed65aa0742a1",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,15,NA,NA,NA,0
"TasicBrain","Brain","Mouse","DeepSeekCell-ConfidenceK","confidence-k",0,2,"ea9757f0baa3079bf1c5ed65aa0742a1",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,15,NA,NA,NA,0
"TasicBrain","Brain","Mouse","DeepSeekCell-SelfRefined","evidence-k",0,2,"ea9757f0baa3079bf1c5ed65aa0742a1",NA,0,0,0,0,0,0,NA,15,0,0,0,0,NA,NA,1,1,NA,NA,NA,0,0,0,NA,NA,0,15,NA,NA,NA,0
"TasicBrain","Brain","Mouse","DeepSeekCell-FullRefined","full",15,2,"ea9757f0baa3079bf1c5ed65aa0742a1","ac8afe8bd57fcbda3c6526a02ab519a7",3317,1332,4649,7.37001204490662,0.00083734,1,NA,15,15,15,1,0,0,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,15,0,0,NA,1
"ZeiselBrain","Brain","Mouse","DeepSeekCell-RandomK","random-k",1,2,"b4d9ccd58a222e82a0e11c34cf5ee177","a0560f81434923d73f8cdbfc6f2a2796",432,94,526,1.20037794113159,8.68e-05,1,NA,16,1,1,0.0625,5,1,0.2,1,0.733333333333333,0.382970843102535,1,0.2,0,0,0,0,NA,0,16,0,0,NA,0.0625
